"title","date_posted","position","location","url","District","Archive_Date"
"Associate Principal (Interim 26/27)","2026-08-04",NA,"Castle Rock Middle School","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Assistant Boys Soccer Coach","2026-08-03",NA,"Senior High School","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Football Assistant Coach","2026-08-03",NA,"Medicine Crow Middle School","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Speech and Debate Assistant Coach","2026-08-05",NA,"Skyview High School","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Wrestling Coach","2026-05-28",NA,"Castle Rock Middle School","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Baseball Assistant Coach","2026-06-22",NA,"Senior High School","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Assistant Boys Soccer Coach","2026-07-07",NA,"Skyview High School","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Football Assistant Coach","2026-07-15",NA,"Riverside Middle School","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Speech and Debate Assistant Coach","2026-04-24",NA,"Senior High School","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Football Assistant Coach","2026-05-12",NA,"Lewis & Clark Middle School","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Elementary Teachers and Long-Term Assignments (K-5) (2026-2027 School Year)",NA,NA,"August 2026","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Adaptive Music Specialist (Elementary)",NA,NA,"August 2026","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"JROTC Air Force Instructor",NA,NA,"August 2026","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Family Consumer Science Teacher","2026-06-22",NA,"Senior High School","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Math Teacher LTA","2026-07-28",NA,"Senior High School","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Counselor LTA","2026-04-24",NA,"Medicine Crow Middle School","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Social Worker (Special Education)","2026-06-10",NA,"Various","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Speech Language Pathologist","2025-11-24",NA,"Various","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Custodian I","2026-08-05",NA,"Various","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Custodian III","2026-08-04",NA,"Various","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Custodian III","2026-07-29",NA,"Various","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Painter","2026-04-15",NA,"Various","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Math Teacher","2026-08-04",NA,"Riverside Middle School","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Social Studies Teacher (LTA)","2026-07-27",NA,"Riverside Middle School","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Technical Education Teacher","2026-08-06",NA,"Castle Rock Middle School","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Attendance Clerk","2026-08-04",NA,"Will James Middle School","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Attendance Clerk","2026-08-05",NA,"Riverside Middle School","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Human Resources Benefits Specialist","2026-08-03",NA,"Lincoln Center","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Administrative Assistant II (Special Education)","2026-08-05",NA,"West High School","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Administrative Assistant II","2026-07-23",NA,"Senior High School","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Administrative Assistant III","2026-07-22",NA,"Lincoln Center","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Special Education Teacher LTA","2025-11-19",NA,"Various","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Special Education Teacher K-12 (26/27)","2026-08-05",NA,"Various","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"SUBSTITUTE LUNCH DRIVERS and SUBSTITUTE LUNCH DRIVER HELPERS",NA,NA,"Right away","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"SUBSTITUTE CROSSWALK GUARD","2023-02-03",NA,"Various","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"SUBSTITUTE CUSTODIAN","2024-08-15",NA,"Various","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Substitute Instructional Paraprofessional (Classroom)","2023-04-21",NA,"Various","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Substitute Secretary","2023-04-21",NA,"Various","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Substitute Special Needs Assistant","2023-04-21",NA,"Various","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"SUBSTITUTE GENERAL DUTY ASSISTANT","2023-02-03",NA,"Various","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Substitute Special Education Bus Assistants","2023-04-21",NA,"Various","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"SUBSTITUTE TEACHERS","2024-11-14",NA,"Various","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Printer Foreman",NA,NA,"August 2026","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Crosswalk Guard","2026-07-27",NA,"McKinley Elementary","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Crosswalk Guard","2026-06-17",NA,"Ponderosa Elementary","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Crosswalk Guard","2026-08-05",NA,"Boulder Elementary","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Crosswalk Guard","2025-08-25",NA,"Castle Rock Middle School","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Crosswalk Guard","2026-03-27",NA,"Bitterroot Elementary","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Crosswalk Guard","2026-08-06",NA,"Meadowlark Elementary","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Crosswalk Guard","2026-08-05",NA,"Miles Avenue Elementary","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Crosswalk Guard","2026-08-05",NA,"Burlington Elementary","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"EARLY CHILDHOOD INTERVENTION (ECI) FAMILY SUPPORT SPECIALIST (FSS)","2026-04-08",NA,"ECI - Early Childhood Intervention","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"EARLY CHILDHOOD INTERVENTION (ECI) FAMILY SUPPORT SPECIALIST (FSS)","2026-05-22",NA,"ECI - Early Childhood Intervention","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"General Duty Assistant (GDA)","2026-05-05",NA,"Alkali Creek Elementary","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"General Duty Assistant (GDA)","2026-06-17",NA,"Ponderosa Elementary","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"General Duty Assistant (GDA)","2026-02-20",NA,"Rose Park Elementary","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"General Duty Assistant (GDA)","2026-02-25",NA,"Beartooth Elementary","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"General Duty Assistant (GDA)","2026-08-06",NA,"Meadowlark Elementary","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"General Duty Assistant (GDA)","2026-03-09",NA,"Big Sky Elementary","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"General Duty Assistant (GDA)","2026-03-16",NA,"Orchard Elementary","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"General Duty Assistant (GDA)","2026-03-27",NA,"Bitterroot Elementary","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"General Duty Assistant (GDA)","2026-01-16",NA,"Central Heights Elementary","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"General Duty Assistant (GDA)","2026-01-22",NA,"Broadwater Elementary","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"General Duty Assistant (GDA)","2025-11-11",NA,"Broadwater Elementary","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"General Duty Assistant (GDA)","2025-08-25",NA,"Castle Rock Middle School","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"General Duty Assistant (GDA)","2026-08-05",NA,"Burlington Elementary","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"General Duty Assistant (GDA)","2026-08-05",NA,"Boulder Elementary","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"General Duty Assistant (GDA)","2026-06-16",NA,"Arrowhead Elementary","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"General Duty Assistant (GDA)","2026-07-20",NA,"Eagle Cliffs Elementary","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"General Duty Assistant (GDA)","2026-07-27",NA,"McKinley Elementary","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"General Duty Assistant (GDA)","2026-08-05",NA,"Miles Avenue Elementary","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Instructional Paraprofessional (IPP) (Special Education)","2026-01-06",NA,"Various","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Interpreter for the Deaf I","2026-03-31",NA,"Various","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Substitute LPN (Licensed Practical Nurse)","2025-05-30",NA,"Various","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Sensory Communication Facilitator","2026-08-05",NA,"Various","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Special Education Bus Assistant","2026-07-23",NA,"Various","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"Special Needs Assistants (SNA)","2026-08-03",NA,"Various","https://www.applitrack.com/billings/onlineapp/default.aspx","Billings Public Schools","2026-08-07"
"School Psychologist","2026-06-08",NA,"Various","https://www.applitrack.com/mcpsmt/onlineapp/default.aspx","Missoula County Public Schools","2026-08-07"
"Early Literacy Teacher ~ Long-term Substitute","2026-08-06",NA,"Jeannette Rankin Elementary School","https://www.applitrack.com/mcpsmt/onlineapp/default.aspx","Missoula County Public Schools","2026-08-07"
"Mathematics Teacher ~ Long-term Substitute (2 positions)","2026-06-11",NA,"Sentinel High School","https://www.applitrack.com/mcpsmt/onlineapp/default.aspx","Missoula County Public Schools","2026-08-07"
"Music - Choir Teacher ~ 1 year only (reposted)","2026-03-27",NA,"CS Porter Middle School","https://www.applitrack.com/mcpsmt/onlineapp/default.aspx","Missoula County Public Schools","2026-08-07"
"Sp Ed Extended Resource Teacher (K-2)","2026-07-29",NA,"Lowell Elementary School","https://www.applitrack.com/mcpsmt/onlineapp/default.aspx","Missoula County Public Schools","2026-08-07"
"Assistant Volleyball Coach - Expansion Team - Big Sky High School","2026-08-03",NA,"Big Sky High School","https://www.applitrack.com/mcpsmt/onlineapp/default.aspx","Missoula County Public Schools","2026-08-07"
"Assistant Dance Coach - Expansion - Sentinel High School","2026-08-03",NA,"Sentinel High School","https://www.applitrack.com/mcpsmt/onlineapp/default.aspx","Missoula County Public Schools","2026-08-07"
"Assistant Boys Soccer Coach - Expansion - Big Sky High School (2 Positions)","2026-06-30",NA,"Big Sky High School","https://www.applitrack.com/mcpsmt/onlineapp/default.aspx","Missoula County Public Schools","2026-08-07"
"Assistant Football Coach- Big Sky High School","2026-06-30",NA,"Big Sky High School","https://www.applitrack.com/mcpsmt/onlineapp/default.aspx","Missoula County Public Schools","2026-08-07"
"Soccer Coach - CS Porter Middle School","2026-06-09",NA,"CS Porter Middle School","https://www.applitrack.com/mcpsmt/onlineapp/default.aspx","Missoula County Public Schools","2026-08-07"
"Soccer Coach - Meadow Hill Middle School","2026-06-09",NA,"Meadow Hill Middle School","https://www.applitrack.com/mcpsmt/onlineapp/default.aspx","Missoula County Public Schools","2026-08-07"
"Custodian + Activities Coordinator - Hellgate High School","2026-03-24",NA,"Hellgate High School","https://www.applitrack.com/mcpsmt/onlineapp/default.aspx","Missoula County Public Schools","2026-08-07"
