"Broad_Category","Sum","District"
"Art",2,"Total"
"CTE - Business & Family Sciences",3,"Total"
"CTE - Trades, Ag & Technical",16,"Total"
"Early Childhood",2,"Total"
"Elementary",14,"Total"
"English Language Arts Secondary",15,"Total"
"Language",4,"Total"
"Library Media",14,"Total"
"Math",29,"Total"
"Music",3,"Total"
"Other",25,"Total"
"Physical Education",4,"Total"
"Science",16,"Total"
"Secondary Social Studies",4,"Total"
"Special Education - General",22,"Total"
"Special Education - Resource/Life Skills",2,"Total"
"Art",1,"Lockwood Schools"
"Art",1,"Sidney Public Schools"
"CTE - Business & Family Sciences",1,"Forsyth"
"CTE - Business & Family Sciences",1,"Poplar Public Schools"
"CTE - Business & Family Sciences",1,"Shepherd"
"CTE - Trades, Ag & Technical",1,"Absarokee"
"CTE - Trades, Ag & Technical",1,"Billings Public Schools"
"CTE - Trades, Ag & Technical",1,"Broadus"
"CTE - Trades, Ag & Technical",1,"Choteau"
"CTE - Trades, Ag & Technical",1,"Drummond"
"CTE - Trades, Ag & Technical",1,"Fromberg"
"CTE - Trades, Ag & Technical",1,"Gardiner"
"CTE - Trades, Ag & Technical",1,"Hays"
"CTE - Trades, Ag & Technical",1,"Hot Springs"
"CTE - Trades, Ag & Technical",1,"Jordan"
"CTE - Trades, Ag & Technical",1,"Miles City MT"
"CTE - Trades, Ag & Technical",1,"Plentywood, MT"
"CTE - Trades, Ag & Technical",1,"Rudyard/Gildford"
"CTE - Trades, Ag & Technical",1,"Scobey"
"CTE - Trades, Ag & Technical",1,"Sheridan, MT"
"CTE - Trades, Ag & Technical",1,"Wibaux"
"Early Childhood",1,"Fairview Public Schools"
"Early Childhood",1,"Rocky Boy Public Schools"
"Elementary",1,"Billings Public Schools"
"Elementary",3,"Colstrip Public Schools"
"Elementary",4,"Great Falls Public Schools"
"Elementary",1,"Lame Deer Public Schools"
"Elementary",2,"Poplar Public Schools"
"Elementary",2,"Rocky Boy Public Schools"
"Elementary",1,"Ronan Public Schools"
"English Language Arts Secondary",1,"Box Elder"
"English Language Arts Secondary",1,"Browning, MT"
"English Language Arts Secondary",1,"Chinook"
"English Language Arts Secondary",1,"Colstrip Public Schools"
"English Language Arts Secondary",1,"Fromberg"
"English Language Arts Secondary",1,"Geyser"
"English Language Arts Secondary",2,"Havre Public Schools"
"English Language Arts Secondary",1,"Lame Deer Public Schools"
"English Language Arts Secondary",1,"Lima"
"English Language Arts Secondary",1,"Lockwood Schools"
"English Language Arts Secondary",1,"MELSTONE"
"English Language Arts Secondary",1,"Plentywood, MT"
"English Language Arts Secondary",1,"Roy, Montana"
"English Language Arts Secondary",1,"Wolf Point"
"Language",1,"Colstrip Public Schools"
"Language",1,"East Helena Public Schools"
"Language",2,"Stevensville Public Schools"
"Library Media",1,"841 Bear Canyon Road"
"Library Media",1,"BUSBY"
"Library Media",1,"Broadview"
"Library Media",1,"Canyon Creek and Wolf Creek"
"Library Media",1,"Drummond"
"Library Media",1,"Helena Public Schools"
"Library Media",1,"Hot Springs"
"Library Media",1,"Kalispell Public Schools"
"Library Media",1,"Nashua"
"Library Media",1,"Power"
"Library Media",1,"Sidney Public Schools"
"Library Media",1,"Thompson Falls"
"Library Media",1,"Wilsall"
"Library Media",1,"Wolf Point"
"Math",1,"Arlee"
"Math",1,"Ashland"
"Math",1,"Big Sandy Public Schools"
"Math",2,"Billings Public Schools"
"Math",1,"Boulder"
"Math",1,"Box Elder"
"Math",1,"Browning"
"Math",1,"Cascade"
"Math",1,"Chester Montana"
"Math",1,"Colstrip Public Schools"
"Math",2,"East Helena Public Schools"
"Math",1,"Great Falls Public Schools"
"Math",1,"Havre Public Schools"
"Math",1,"Highwood"
"Math",1,"Hysham"
"Math",1,"Lame Deer Public Schools"
"Math",1,"Libby"
"Math",1,"Lima"
"Math",1,"Livingston"
"Math",1,"Lockwood Schools"
"Math",1,"Lodge Grass, Montana"
"Math",1,"Manhattan"
"Math",1,"Miles City, MT"
"Math",1,"Plentywood, MT"
"Math",1,"Plevna, Montana"
"Math",1,"Scobey"
"Math",1,"Sheridan, MT"
"Music",1,"Great Falls Public Schools"
"Music",1,"Lame Deer Public Schools"
"Music",1,"Missoula County Public Schools"
"Other",1,"Billings Public Schools"
"Other",2,"East Helena Public Schools"
"Other",1,"Fairview Public Schools"
"Other",1,"Glendive Public Schools"
"Other",3,"Great Falls Public Schools"
"Other",1,"Havre Public Schools"
"Other",1,"Helena Public Schools"
"Other",2,"Kalispell Public Schools"
"Other",3,"Lame Deer Public Schools"
"Other",7,"Rocky Boy Public Schools"
"Other",2,"Ronan Public Schools"
"Other",1,"Whitefish School District"
"Physical Education",1,"Kalispell Public Schools"
"Physical Education",1,"Lame Deer Public Schools"
"Physical Education",1,"Ronan Public Schools"
"Physical Education",1,"Stevensville Public Schools"
"Science",1,"Billings Public Schools"
"Science",1,"Cascade"
"Science",1,"East Helena Public Schools"
"Science",1,"Gallatin Gateway"
"Science",2,"Great Falls Public Schools"
"Science",1,"Harrison"
"Science",1,"Lame Deer Public Schools"
"Science",1,"Plentywood, MT"
"Science",1,"Plevna, Montana"
"Science",1,"Ronan Public Schools"
"Science",1,"Scobey"
"Science",1,"Shepherd"
"Science",1,"Westby"
"Science",1,"Whitewater"
"Science",1,"Wolf Point"
"Secondary Social Studies",1,"Billings Public Schools"
"Secondary Social Studies",1,"Kalispell Public Schools"
"Secondary Social Studies",1,"Lame Deer Public Schools"
"Secondary Social Studies",1,"Poplar Public Schools"
"Special Education - General",2,"Billings Public Schools"
"Special Education - General",1,"Colstrip Public Schools"
"Special Education - General",2,"Glendive Public Schools"
"Special Education - General",5,"Great Falls Public Schools"
"Special Education - General",1,"Hardin Public Schools"
"Special Education - General",1,"Havre Public Schools"
"Special Education - General",1,"Helena Public Schools"
"Special Education - General",1,"Lame Deer Public Schools"
"Special Education - General",2,"Laurel Public Schools"
"Special Education - General",1,"Lockwood Schools"
"Special Education - General",1,"Poplar Public Schools"
"Special Education - General",1,"Ronan Public Schools"
"Special Education - General",1,"Sidney Public Schools"
"Special Education - General",2,"Whitefish School District"
"Special Education - Resource/Life Skills",1,"Big Sandy Public Schools"
"Special Education - Resource/Life Skills",1,"Missoula County Public Schools"
