"Category","Job_Type","Sum","Institution"
"CTE - Business & Computing","Instructor/Teacher/Faculty",12,"Total"
"CTE - Health Sciences","Adjunct/Part-Time Faculty",10,"Total"
"CTE - Health Sciences","Instructor/Teacher/Faculty",6,"Total"
"CTE - Trades & Engineering","Adjunct/Part-Time Faculty",3,"Total"
"CTE - Trades & Engineering","Instructor/Teacher/Faculty",21,"Total"
"Criminal Justice","Instructor/Teacher/Faculty",1,"Total"
"Culinary/Hospitality","Adjunct/Part-Time Faculty",1,"Total"
"Culinary/Hospitality","Instructor/Teacher/Faculty",2,"Total"
"Education","Adjunct/Part-Time Faculty",1,"Total"
"Education","Instructor/Teacher/Faculty",2,"Total"
"History","Instructor/Teacher/Faculty",1,"Total"
"Humanities","Adjunct/Part-Time Faculty",1,"Total"
"Humanities","Instructor/Teacher/Faculty",2,"Total"
"Language","Adjunct/Part-Time Faculty",1,"Total"
"Language","Instructor/Teacher/Faculty",3,"Total"
"Legal","Instructor/Teacher/Faculty",1,"Total"
"Library","Instructor/Teacher/Faculty",2,"Total"
"Math","Instructor/Teacher/Faculty",4,"Total"
"Physical Education","Instructor/Teacher/Faculty",1,"Total"
"Science","Adjunct/Part-Time Faculty",3,"Total"
"Science","Instructor/Teacher/Faculty",15,"Total"
"Social Science","Instructor/Teacher/Faculty",2,"Total"
"The Arts","Adjunct/Part-Time Faculty",1,"Total"
"The Arts","Instructor/Teacher/Faculty",2,"Total"
"Uncategorized","Adjunct/Part-Time Faculty",9,"Total"
"Uncategorized","Instructor/Teacher/Faculty",55,"Total"
"CTE - Business & Computing","Instructor/Teacher/Faculty",12,"Montana State University"
"CTE - Health Sciences","Instructor/Teacher/Faculty",1,"Aaniiih Nakoda College"
"CTE - Health Sciences","Adjunct/Part-Time Faculty",1,"Carroll College"
"CTE - Health Sciences","Adjunct/Part-Time Faculty",1,"Flathead Valley Community College"
"CTE - Health Sciences","Adjunct/Part-Time Faculty",2,"Great Falls College MSU"
"CTE - Health Sciences","Adjunct/Part-Time Faculty",3,"Helena College"
"CTE - Health Sciences","Instructor/Teacher/Faculty",3,"Montana State University"
"CTE - Health Sciences","Adjunct/Part-Time Faculty",1,"Montana State University-Northern"
"CTE - Health Sciences","Instructor/Teacher/Faculty",1,"Montana State University-Northern"
"CTE - Health Sciences","Adjunct/Part-Time Faculty",1,"Salish Kootenai College"
"CTE - Health Sciences","Instructor/Teacher/Faculty",1,"Stone Child College"
"CTE - Health Sciences","Adjunct/Part-Time Faculty",1,"University of Providence"
"CTE - Trades & Engineering","Instructor/Teacher/Faculty",1,"Aaniiih Nakoda College"
"CTE - Trades & Engineering","Instructor/Teacher/Faculty",1,"Dawson Community College"
"CTE - Trades & Engineering","Adjunct/Part-Time Faculty",2,"Flathead Valley Community College"
"CTE - Trades & Engineering","Adjunct/Part-Time Faculty",1,"Helena College"
"CTE - Trades & Engineering","Instructor/Teacher/Faculty",1,"Helena College"
"CTE - Trades & Engineering","Instructor/Teacher/Faculty",13,"Montana State University"
"CTE - Trades & Engineering","Instructor/Teacher/Faculty",1,"Montana State University Billings"
"CTE - Trades & Engineering","Instructor/Teacher/Faculty",2,"Montana State University-Northern"
"CTE - Trades & Engineering","Instructor/Teacher/Faculty",2,"Montana Tech"
"Criminal Justice","Instructor/Teacher/Faculty",1,"Montana State University Billings"
"Culinary/Hospitality","Adjunct/Part-Time Faculty",1,"Flathead Valley Community College"
"Culinary/Hospitality","Instructor/Teacher/Faculty",2,"Montana State University"
"Education","Adjunct/Part-Time Faculty",1,"Flathead Valley Community College"
"Education","Instructor/Teacher/Faculty",2,"Montana State University"
"History","Instructor/Teacher/Faculty",1,"Montana State University"
"Humanities","Instructor/Teacher/Faculty",1,"Dawson Community College"
"Humanities","Adjunct/Part-Time Faculty",1,"Flathead Valley Community College"
"Humanities","Instructor/Teacher/Faculty",1,"Montana State University"
"Language","Adjunct/Part-Time Faculty",1,"Flathead Valley Community College"
