"Broad_Category","Archive_Date","District","sum"
"Art","2026-08-06","Total",1
"CTE - Business & Family Sciences","2026-08-06","Total",3
"CTE - Trades, Ag & Technical","2026-08-06","Total",20
"Elementary","2026-08-06","Total",5
"English Language Arts Secondary","2026-08-06","Total",14
"Language","2026-08-06","Total",1
"Library Media","2026-08-06","Total",13
"Math","2026-08-06","Total",28
"Music","2026-08-06","Total",2
"Other","2026-08-06","Total",11
"Physical Education","2026-08-06","Total",1
"Science","2026-08-06","Total",17
"Secondary Social Studies","2026-08-06","Total",2
"Special Education - General","2026-08-06","Total",15
"Special Education - Resource/Life Skills","2026-08-06","Total",1
"Art","2026-08-06","Lockwood Schools",1
"CTE - Business & Family Sciences","2026-08-06","Forsyth",1
"CTE - Business & Family Sciences","2026-08-06","Ronan",1
"CTE - Business & Family Sciences","2026-08-06","Shepherd",1
"CTE - Trades, Ag & Technical","2026-08-06","Absarokee",1
"CTE - Trades, Ag & Technical","2026-08-06","Billings Public Schools",1
"CTE - Trades, Ag & Technical","2026-08-06","Broadus",1
"CTE - Trades, Ag & Technical","2026-08-06","Choteau",1
"CTE - Trades, Ag & Technical","2026-08-06","Drummond",1
"CTE - Trades, Ag & Technical","2026-08-06","FAIRVIEW",1
"CTE - Trades, Ag & Technical","2026-08-06","Fromberg",1
"CTE - Trades, Ag & Technical","2026-08-06","Gardiner",1
"CTE - Trades, Ag & Technical","2026-08-06","Hays",1
"CTE - Trades, Ag & Technical","2026-08-06","Hot Springs",1
"CTE - Trades, Ag & Technical","2026-08-06","Jordan",1
"CTE - Trades, Ag & Technical","2026-08-06","Lame Deer",1
"CTE - Trades, Ag & Technical","2026-08-06","Miles City MT",1
"CTE - Trades, Ag & Technical","2026-08-06","Plentywood, MT",1
"CTE - Trades, Ag & Technical","2026-08-06","Poplar",1
"CTE - Trades, Ag & Technical","2026-08-06","Rocky Boy",1
"CTE - Trades, Ag & Technical","2026-08-06","Rudyard/Gildford",1
"CTE - Trades, Ag & Technical","2026-08-06","Scobey",1
"CTE - Trades, Ag & Technical","2026-08-06","Sheridan, MT",1
"CTE - Trades, Ag & Technical","2026-08-06","Wibaux",1
"Elementary","2026-08-06","Billings Public Schools",1
"Elementary","2026-08-06","Great Falls Public Schools",4
"English Language Arts Secondary","2026-08-06","Big Sandy",1
