"Institution","Archive_Date","n"
"Flathead Valley Community College","2026-08-06",29
"Great Falls College MSU","2026-08-06",9
"Montana State University","2026-08-06",186
"Montana State University Billings","2026-08-06",9
"Montana State University-Northern","2026-08-06",9
"Montana Tech","2026-08-06",15
"Flathead Valley Community College","2026-08-07",29
"Great Falls College MSU","2026-08-07",9
"Miles Community College","2026-08-07",6
"Montana State University","2026-08-07",186
"Montana State University Billings","2026-08-07",9
"Montana State University-Northern","2026-08-07",9
"Montana Tech","2026-08-07",15
"Aaniiih Nakoda College","2026-08-11",11
"Blackfeet Community College","2026-08-11",8
"Carroll College","2026-08-11",14
"Dawson Community College","2026-08-11",7
"Flathead Valley Community College","2026-08-11",28
"Fort Peck Community College","2026-08-11",1
"Great Falls College MSU","2026-08-11",9
"Helena College","2026-08-11",11
"Highlands College","2026-08-11",2
"Little Big Horn College","2026-08-11",4
"Miles Community College","2026-08-11",4
"Montana State University","2026-08-11",177
"Montana State University Billings","2026-08-11",10
"Montana State University-Northern","2026-08-11",11
"Montana Tech","2026-08-11",14
"Rocky Mountain College","2026-08-11",6
"Salish Kootenai College","2026-08-11",17
"Stone Child College","2026-08-11",5
"University of Montana","2026-08-11",25
"University of Montana Western","2026-08-11",5
"University of Providence","2026-08-11",4
