"District","Archive_Date","n"
"4 miles north of Harlem","2026-08-06",1
"5 miles West of Stanford","2026-08-06",1
"841 Bear Canyon Road","2026-08-06",1
"Absarokee","2026-08-06",5
"Anaconda","2026-08-06",3
"Arlee","2026-08-06",1
"Ashland","2026-08-06",7
"BRUSETT","2026-08-06",2
"BUSBY","2026-08-06",6
"BUSBY, MT","2026-08-06",2
"Bainville","2026-08-06",3
"Belfry","2026-08-06",7
"Belt","2026-08-06",2
"Big Sandy","2026-08-06",7
"Big Sky","2026-08-06",2
"Big Timber, MT","2026-08-06",3
"Bigfork","2026-08-06",3
"Billings Public Schools","2026-08-06",77
"Bloomfield, MT","2026-08-06",1
"Boulder","2026-08-06",4
"Box Elder","2026-08-06",7
"Broadus","2026-08-06",5
"Broadview","2026-08-06",5
"Broadview, MT","2026-08-06",1
"Browning","2026-08-06",4
"Browning, MT","2026-08-06",2
"CARDWELL","2026-08-06",1
"CHOTEAU","2026-08-06",1
"CORVALLIS","2026-08-06",1
"Canyon Creek and Wolf Creek","2026-08-06",1
"Cascade","2026-08-06",3
"Charlo","2026-08-06",2
"Chester","2026-08-06",1
"Chester Montana","2026-08-06",1
"Chinook","2026-08-06",1
"Choteau","2026-08-06",3
"Circle","2026-08-06",2
"Clancy, MT","2026-08-06",3
"Clancy/Mt City","2026-08-06",1
"Clyde Park","2026-08-06",2
"Colstrip","2026-08-06",7
"Condon","2026-08-06",4
"Conrad","2026-08-06",5
"Corvallis","2026-08-06",2
"Custer","2026-08-06",5
"Cut Bank","2026-08-06",2
"Darby Montana","2026-08-06",1
"Deer Lodge","2026-08-06",2
"Dodson","2026-08-06",1
"Drummond","2026-08-06",5
"Dutton","2026-08-06",1
"East Helena Public Schools","2026-08-06",12
"Ekalaka","2026-08-06",1
"Eureka","2026-08-06",1
"FAIRVIEW","2026-08-06",1
"Fairfield","2026-08-06",1
"Fairfield, MT","2026-08-06",1
"Fairview","2026-08-06",4
"Forsyth","2026-08-06",1
"Fortine","2026-08-06",1
"Frazer","2026-08-06",2
"Frazer, MT","2026-08-06",1
"Frenchtown","2026-08-06",5
"Froid MT","2026-08-06",1
"Fromberg","2026-08-06",5
"GILDFORD","2026-08-06",1
"Gallatin Gateway","2026-08-06",1
"Gardiner","2026-08-06",5
"Geraldine","2026-08-06",25
