"District","Salary_Year","Teacher_Count","Teacher_Salary_10th_Pctile","Teacher_Avg_Salary","Teacher_Salary_90th_Pctile"
"Billings Public Schools","2022-23",852,45400,66100,82600
"Missoula County Public Schools","2022-23",541,44700,65400,84700
"Great Falls Public Schools","2022-23",558,38700,60300,76500
"Bozeman Public Schools","2022-23",384,47600,64700,81600
"Helena Public Schools","2022-23",423,NA,NA,NA
"Butte School District 1","2022-23",220,44100,66800,79700
"Belgrade School District 44","2022-23",198,38700,54000,74600
"East Helena Public Schools","2022-23",103,44200,54900,77400
"Lockwood Schools","2022-23",98,NA,NA,NA
"Hamilton School District 3","2022-23",84,41300,52300,72400
"Havre Public Schools","2022-23",93,41500,57700,74500
"Whitefish School District","2022-23",113,NA,70900,88600
"Columbia Falls School District 6","2022-23",132,42200,59000,77800
"Polson School District","2022-23",100,44700,66400,83500
"Lewistown Public Schools","2022-23",74,36700,52000,68800
"Laurel Public Schools","2022-23",102,42000,56000,73300
"Kalispell Public Schools","2022-23",373,NA,62800,83000
"Hardin Public Schools","2022-23",128,37300,53900,74300
"Glendive Public Schools","2022-23",73,NA,NA,NA
"Colstrip Public Schools","2022-23",46,NA,56000,76600
"Sidney Public Schools","2022-23",74,44200,56200,70400
"Stevensville Public Schools","2022-23",61,37800,49600,66100
"Big Sandy Public Schools","2022-23",15,34300,42700,53000
"Poplar Public Schools","2022-23",63,46900,68000,86000
"Fairview Public Schools","2022-23",25,35500,47800,65900
"Rocky Boy Public Schools","2022-23",38,NA,68100,94800
"Ronan Public Schools","2022-23",87,44200,62100,84300
"Livingston Public Schools","2022-23",72,41600,53900,72400
"Wolf Point Public Schools","2022-23",55,38800,54600,73800
"Plentywood Public Schools","2022-23",27,34900,47900,65900
