"Name","County","Longitude","Latitude","Link","Faculty_Avg_Salary","Faculty_Avg_Salary_Professor","Faculty_Count","Salary_Year","Salary_Source","Faculty_Avg_Salary_Y1Ago","Faculty_Avg_Salary_Y2Ago","Enrollment","Enrollment_Year","Enrollment_Change_Pct","Pell_Recipient_Share","Pell_Year","Median_Household_Income","Median_Gross_Rent","Population","ACS_Year","Mining_Employment_Share","Population_Change_Pct"
"Montana State University","Gallatin County",-111.045,45.668,"https://jobs.montana.edu",99426.738019,131790.958763,626,2024,"IPEDS via Urban Institute Education Data Portal (educationdata.urban.org)",94552.535771,87912.414063,15586,2023,0.0168982840738566,0.18908705164755,2021,93528,1694,124074,2024,0.00318440337630192,0.148163571250104
"Montana State University Billings","Yellowstone County",-108.5347,45.7797,"https://employment.msubillings.edu",69555.401408,91599.769231,142,2024,"IPEDS via Urban Institute Education Data Portal (educationdata.urban.org)",65872.675862,62324.941406,2858,2023,-0.127328244274809,0.399387129724208,2021,76570,1131,168957,2024,0.0140261915284594,0.0625691789092373
"Montana State University-Northern","Hill County",-109.7091,48.5432,"https://jobs.msun.edu",61792.54902,72434,51,2024,"IPEDS via Urban Institute Education Data Portal (educationdata.urban.org)",59415.960784,62279.238281,817,2023,-0.182182182182182,0.464739884393064,2021,52798,776,16155,2024,0.00831688751057231,-0.0170966171817961
"Great Falls College MSU","Cascade County",-111.2905,47.4855,"https://jobs.gfcmsu.edu",62318.736842,NA,38,2024,"IPEDS via Urban Institute Education Data Portal (educationdata.urban.org)",61099.548387,56719.8125,882,2023,-0.129318854886476,0.629820051413882,2021,67690,939,84606,2024,0.00459048705845739,0.03652067381317
"Montana Tech","Silver Bow County",-112.5347,45.9974,"https://montanatechuniversity.applytojob.com/apply",78729.904,98875.096774,125,2024,"IPEDS via Urban Institute Education Data Portal (educationdata.urban.org)",75286.739837,72540.890625,1484,2023,-0.125,0.315210355987055,2021,61754,863,35785,2024,0.0208715189499202,0.0291918320391142
"Flathead Valley Community College","Flathead County",-114.3226,48.1878,"https://www.paycomonline.net/v4/ats/web.php/portal/23D9610C7FF62DF6DF80223B0B1ED6E3/career-page",68532.915254,75126.285714,59,2024,"IPEDS via Urban Institute Education Data Portal (educationdata.urban.org)",64824.677419,62861.015625,1208,2023,-0.163434903047091,0.358581788879936,2021,73925,1142,110695,2024,0.00615429971808148,0.10806914984134
"Miles Community College","Custer County",-105.8406,46.4083,"https://www.milescc.edu/employment/",56698.619048,NA,21,2024,"IPEDS via Urban Institute Education Data Portal (educationdata.urban.org)",54518.857143,52279.453125,470,2023,0.0307017543859649,0.436073059360731,2021,70605,893,11961,2024,0.000954046748290666,0.0197800323983289
"Dawson Community College","Dawson County",-104.7091,47.124,"https://www.dawson.edu/employment-opportunities.html",58646.416667,NA,12,2024,"IPEDS via Urban Institute Education Data Portal (educationdata.urban.org)",54775.230769,53218.921875,305,2023,-0.00974025974025974,0.347290640394089,2021,71334,815,8827,2024,0.0390714778211905,-0.0210713097482533
"Blackfeet Community College","Glacier County",-113.0165,48.5588,"https://bfcc.isolvedhire.com/jobs/",25621.037736,NA,53,2024,"IPEDS via Urban Institute Education Data Portal (educationdata.urban.org)",32883.7,32883.699219,214,2023,-0.186311787072243,0.665178571428571,2021,46875,548,13637,2024,0.00564971751412429,-0.00691814739295077
"University of Montana","Missoula County",-113.9852,46.86,"https://ummissoula.attract.neoed.com/p/careers",93938.045249,111806.770408,442,2024,"IPEDS via Urban Institute Education Data Portal (educationdata.urban.org)",88341.215686,84983.078125,8444,2023,-0.0765529308836395,0.284803139948485,2021,75598,1190,120672,2024,0.00310216563506182,0.0286678771449761
"Carroll College","Lewis and Clark County",-112.0348,46.5809,"https://www.carroll.edu/faculty-staff-positions",70283.047059,81303.047619,85,2024,"IPEDS via Urban Institute Education Data Portal (educationdata.urban.org)",65615.728395,62205.628906,1194,2023,-0.077992277992278,0.199103139013453,2021,78237,1102,73464,2024,0.00664351915137928,0.083459921834673
"Rocky Mountain College","Yellowstone County",-108.5079,45.7597,"https://rocky.edu/employment",65877.59375,72528.647059,64,2024,"IPEDS via Urban Institute Education Data Portal (educationdata.urban.org)",65799.777778,65728.453125,1082,2023,0.00651162790697674,0.229753521126761,2021,76570,1131,168957,2024,0.0140261915284594,0.0625691789092373
"University of Providence","Cascade County",-111.2833,47.4941,"https://www.uprovidence.edu/employment/",63973.959184,71001.0625,49,2024,"IPEDS via Urban Institute Education Data Portal (educationdata.urban.org)",63448.212766,64884.75,657,2023,-0.263452914798206,0.25,2021,67690,939,84606,2024,0.00459048705845739,0.03652067381317
"Salish Kootenai College","Lake County",-114.1058,47.6083,"https://www.skc.edu/employment/",54229.898551,NA,69,2024,"IPEDS via Urban Institute Education Data Portal (educationdata.urban.org)",60636.897059,51074.335938,539,2023,-0.299089726918075,0.769709543568465,2021,63360,901,32561,2024,0.0104356710209443,0.0848965448305734
"Little Big Horn College","Big Horn County",-107.4531,45.6002,"http://lbhc.edu/Job_opportunities",46534.071429,NA,14,2024,"IPEDS via Urban Institute Education Data Portal (educationdata.urban.org)",38500,37122,281,2023,0.338095238095238,0.648888888888889,2021,58750,697,12891,2024,0.0378723404255319,-0.0370508702472548
"Fort Peck Community College","Roosevelt County",-105.1959,48.1132,"https://www.fpcc.edu/about-fpcc/employment/",55208.352941,NA,17,2024,"IPEDS via Urban Institute Education Data Portal (educationdata.urban.org)",54242.315789,51973.84375,349,2023,0.454166666666667,0.228744939271255,2021,57063,705,10526,2024,0.0241558441558442,-0.058076062639821
"Stone Child College","Hill County",-110.113,48.2958,"https://www.stonechild.edu/page/employment-rfps",58914.666667,NA,12,2024,"IPEDS via Urban Institute Education Data Portal (educationdata.urban.org)",56203.230769,53117.152344,215,2023,-0.206642066420664,0.681818181818182,2021,52798,776,16155,2024,0.00831688751057231,-0.0170966171817961
"Highlands College","Silver Bow County",-112.5097,45.9377,"https://montanatechuniversity.applytojob.com/apply",NA,NA,NA,2024,"IPEDS via Urban Institute Education Data Portal (educationdata.urban.org)",NA,NA,432,2023,-0.103734439834025,NA,2021,61754,863,35785,2024,0.0208715189499202,0.0291918320391142
"Helena College","Lewis and Clark County",-112.0158,46.5957,"https://ummissoula.attract.neoed.com/p/careers",58911.454545,NA,33,2024,"IPEDS via Urban Institute Education Data Portal (educationdata.urban.org)",59945.642857,56869.964844,716,2023,-0.106117353308365,0.513719512195122,2021,78237,1102,73464,2024,0.00664351915137928,0.083459921834673
