"District","County","Latitude","Longitude","Job_Link","Teacher_Count","Teacher_Salary_10th_Pctile","Teacher_Avg_Salary","Teacher_Salary_90th_Pctile","Salary_Year","Salary_Source","Teachers_Total_FTE","Enrollment","CCD_Year","CCD_Source","Median_Household_Income","Median_Gross_Rent","Population","ACS_Year","Mining_Employment_Share","Population_Change_Pct","Child_Poverty_Rate","SAIPE_Year"
"Billings Public Schools","Yellowstone County",45.7833,-108.5007,"https://www.applitrack.com/billings/onlineapp/default.aspx",852,45400,66100,82600,"2022-23","MT Dept. of Labor & Industry Teacher Compensation Report (lmi.mt.gov/publications)",1024,16613,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)",76570,1131,168957,2024,0.0140261915284594,0.0625691789092373,0.075,2024
"Missoula County Public Schools","Missoula County",46.8721,-113.994,"https://www.applitrack.com/mcpsmt/onlineapp/default.aspx",541,44700,65400,84700,"2022-23","MT Dept. of Labor & Industry Teacher Compensation Report (lmi.mt.gov/publications)",608,9252,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)",75598,1190,120672,2024,0.00310216563506182,0.0286678771449761,0.0755,2024
"Great Falls Public Schools","Cascade County",47.5053,-111.3008,"https://www.applitrack.com/greatfalls/onlineapp/default.aspx",558,38700,60300,76500,"2022-23","MT Dept. of Labor & Industry Teacher Compensation Report (lmi.mt.gov/publications)",651,9850,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)",67690,939,84606,2024,0.00459048705845739,0.03652067381317,0.117,2024
"Bozeman Public Schools","Gallatin County",45.677,-111.0429,"https://www.applitrack.com/bozeman/onlineapp/default.aspx",384,47600,64700,81600,"2022-23","MT Dept. of Labor & Industry Teacher Compensation Report (lmi.mt.gov/publications)",458,7447,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)",93528,1694,124074,2024,0.00318440337630192,0.148163571250104,0.0455,2024
"Helena Public Schools","Lewis and Clark County",46.5891,-112.0391,"https://www.applitrack.com/helena/onlineapp/default.aspx",423,NA,NA,NA,"2022-23","MT Dept. of Labor & Industry Teacher Compensation Report (lmi.mt.gov/publications)",470,7473,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)",78237,1102,73464,2024,0.00664351915137928,0.083459921834673,0.07,2024
"Butte School District 1","Silver Bow County",46.0038,-112.5348,"https://www.applitrack.com/buttemt/onlineapp/default.aspx",220,44100,66800,79700,"2022-23","MT Dept. of Labor & Industry Teacher Compensation Report (lmi.mt.gov/publications)",260,4195,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)",61754,863,35785,2024,0.0208715189499202,0.0291918320391142,0.1115,2024
"Belgrade School District 44","Gallatin County",45.7766,-111.1832,"https://www.applitrack.com/belgradeschools/onlineapp/default.aspx",198,38700,54000,74600,"2022-23","MT Dept. of Labor & Industry Teacher Compensation Report (lmi.mt.gov/publications)",211,3227,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)",93528,1694,124074,2024,0.00318440337630192,0.148163571250104,0.0535,2024
"East Helena Public Schools","Lewis and Clark County",46.5866,-111.9366,"https://www.applitrack.com/ehps/onlineapp/default.aspx",103,44200,54900,77400,"2022-23","MT Dept. of Labor & Industry Teacher Compensation Report (lmi.mt.gov/publications)",107,1972,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)",78237,1102,73464,2024,0.00664351915137928,0.083459921834673,0.044,2024
"Lockwood Schools","Yellowstone County",45.8103,-108.4437,"https://www.applitrack.com/lockwoodschool/onlineapp/default.aspx",98,NA,NA,NA,"2022-23","MT Dept. of Labor & Industry Teacher Compensation Report (lmi.mt.gov/publications)",116,1580,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)",76570,1131,168957,2024,0.0140261915284594,0.0625691789092373,0.081,2024
"Hamilton School District 3","Ravalli County",46.2483,-114.1618,"https://www.applitrack.com/hamiltonsd3/onlineapp/default.aspx",84,41300,52300,72400,"2022-23","MT Dept. of Labor & Industry Teacher Compensation Report (lmi.mt.gov/publications)",110,1631,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)",71283,1054,46727,2024,0.0166394936223267,0.0991484757245013,0.095,2024
"Havre Public Schools","Hill County",48.5497,-109.6845,"https://www.applitrack.com/havre/onlineapp/default.aspx",93,41500,57700,74500,"2022-23","MT Dept. of Labor & Industry Teacher Compensation Report (lmi.mt.gov/publications)",105,1820,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)",52798,776,16155,2024,0.00831688751057231,-0.0170966171817961,0.152,2024
"Whitefish School District","Flathead County",48.4111,-114.3376,"https://whitefishschools.schoolspring.com/",113,NA,70900,88600,"2022-23","MT Dept. of Labor & Industry Teacher Compensation Report (lmi.mt.gov/publications)",136,1936,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)",73925,1142,110695,2024,0.00615429971808148,0.10806914984134,0.055,2024
"Columbia Falls School District 6","Flathead County",48.3705,-114.1801,"https://sd6.schoolspring.com/",132,42200,59000,77800,"2022-23","MT Dept. of Labor & Industry Teacher Compensation Report (lmi.mt.gov/publications)",148,2196,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)",73925,1142,110695,2024,0.00615429971808148,0.10806914984134,0.067,2024
"Polson School District","Lake County",47.6935,-114.1631,"https://polson.schoolspring.com/",100,44700,66400,83500,"2022-23","MT Dept. of Labor & Industry Teacher Compensation Report (lmi.mt.gov/publications)",108,1592,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)",63360,901,32561,2024,0.0104356710209443,0.0848965448305734,0.15,2024
"Lewistown Public Schools","Fergus County",47.0631,-109.4282,"https://lewistown.schoolspring.com/",74,36700,52000,68800,"2022-23","MT Dept. of Labor & Industry Teacher Compensation Report (lmi.mt.gov/publications)",83,1162,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)",63706,954,11687,2024,0.00188002050931465,0.0415292754656448,0.125,2024
"Laurel Public Schools","Yellowstone County",45.671,-108.7712,"https://laurel.schoolspring.com/",102,42000,56000,73300,"2022-23","MT Dept. of Labor & Industry Teacher Compensation Report (lmi.mt.gov/publications)",113,1735,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)",76570,1131,168957,2024,0.0140261915284594,0.0625691789092373,0.065,2024
"Kalispell Public Schools","Flathead County",48.1958,-114.3129,"https://kalispellpublicschoolsmt.tylerportico.com/tess/citizen/jobs/job-list/jobs",373,NA,62800,83000,"2022-23","MT Dept. of Labor & Industry Teacher Compensation Report (lmi.mt.gov/publications)",385,6073,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)",73925,1142,110695,2024,0.00615429971808148,0.10806914984134,0.0825,2024
"Hardin Public Schools","Big Horn County",45.7205,-107.6082,"https://hardinpublic.tedk12.com/hire/index.aspx",128,37300,53900,74300,"2022-23","MT Dept. of Labor & Industry Teacher Compensation Report (lmi.mt.gov/publications)",133,1736,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)",58750,697,12891,2024,0.0378723404255319,-0.0370508702472548,0.206,2024
"Glendive Public Schools","Dawson County",47.1053,-104.7124,"https://www.applitrack.com/glendiveschools/onlineapp/default.aspx",NA,NA,NA,NA,NA,"MT Dept. of Labor & Industry Teacher Compensation Report (lmi.mt.gov/publications)",NA,NA,NA,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)",71334,815,8827,2024,0.0390714778211905,-0.0210713097482533,NA,NA
"Colstrip Public Schools","Rosebud County",45.8836,-106.6262,"https://www.applitrack.com/colstrip/onlineapp/default.aspx",NA,NA,NA,NA,NA,"MT Dept. of Labor & Industry Teacher Compensation Report (lmi.mt.gov/publications)",NA,NA,NA,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)",49914,672,8165,2024,0.0554858934169279,-0.10784527972028,NA,NA
"Sidney Public Schools","Richland County",47.7166,-104.1591,"https://www.applitrack.com/sidney/onlineapp/default.aspx",NA,NA,NA,NA,NA,"MT Dept. of Labor & Industry Teacher Compensation Report (lmi.mt.gov/publications)",NA,NA,NA,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)",73084,917,11235,2024,0.0765819546307351,0.00321457272970801,NA,NA
"Stevensville Public Schools","Ravalli County",46.5127,-114.093,"https://www.applitrack.com/stevensville/onlineapp/default.aspx",NA,NA,NA,NA,NA,"MT Dept. of Labor & Industry Teacher Compensation Report (lmi.mt.gov/publications)",NA,NA,NA,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)",71283,1054,46727,2024,0.0166394936223267,0.0991484757245013,NA,NA
"Big Sandy Public Schools","Chouteau County",48.1791,-110.1163,"https://www.applitrack.com/bigsandy/onlineapp/default.aspx",NA,NA,NA,NA,NA,"MT Dept. of Labor & Industry Teacher Compensation Report (lmi.mt.gov/publications)",NA,NA,NA,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)",58218,536,5906,2024,0.000843170320404722,0.0303558967201675,NA,NA
"Lame Deer Public Schools","Rosebud County",45.6088,-106.666,"https://www.applitrack.com/lamedeer/onlineapp/default.aspx",NA,NA,NA,NA,NA,"MT Dept. of Labor & Industry Teacher Compensation Report (lmi.mt.gov/publications)",NA,NA,NA,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)",49914,672,8165,2024,0.0554858934169279,-0.10784527972028,NA,NA
"Poplar Public Schools","Roosevelt County",48.1132,-105.1959,"https://www.applitrack.com/poplar/onlineapp/default.aspx",NA,NA,NA,NA,NA,"MT Dept. of Labor & Industry Teacher Compensation Report (lmi.mt.gov/publications)",NA,NA,NA,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)",57063,705,10526,2024,0.0241558441558442,-0.058076062639821,NA,NA
"Fairview Public Schools","Richland County",47.8438,-104.0398,"https://www.applitrack.com/fairview/onlineapp/default.aspx",NA,NA,NA,NA,NA,"MT Dept. of Labor & Industry Teacher Compensation Report (lmi.mt.gov/publications)",NA,NA,NA,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)",73084,917,11235,2024,0.0765819546307351,0.00321457272970801,NA,NA
"Rocky Boy Public Schools","Hill County",48.2963,-109.8547,"https://www.applitrack.com/rockyboy/onlineapp/default.aspx",NA,NA,NA,NA,NA,"MT Dept. of Labor & Industry Teacher Compensation Report (lmi.mt.gov/publications)",NA,NA,NA,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)",52798,776,16155,2024,0.00831688751057231,-0.0170966171817961,NA,NA
"Ronan Public Schools","Lake County",47.5322,-114.1042,"https://ronan.schoolspring.com/",NA,NA,NA,NA,NA,"MT Dept. of Labor & Industry Teacher Compensation Report (lmi.mt.gov/publications)",NA,NA,NA,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)",63360,901,32561,2024,0.0104356710209443,0.0848965448305734,NA,NA
