"Institution","County","Latitude","Longitude","Platform","Feed_URL","Job_Link"
"Montana State University","Gallatin County",45.6680,-111.0450,"PeopleAdmin","https://jobs.montana.edu/postings/search.atom","https://jobs.montana.edu"
"Montana State University Billings","Yellowstone County",45.7797,-108.5347,"PeopleAdmin","https://employment.msubillings.edu/postings/search.atom","https://employment.msubillings.edu"
"Montana State University-Northern","Hill County",48.5432,-109.7091,"PeopleAdmin","https://jobs.msun.edu/postings/search.atom","https://jobs.msun.edu"
"Great Falls College MSU","Cascade County",47.4855,-111.2905,"PeopleAdmin","https://jobs.gfcmsu.edu/postings/search.atom","https://jobs.gfcmsu.edu"
"Montana Tech","Silver Bow County",45.9974,-112.5347,"JazzHR","montanatechuniversity","https://montanatechuniversity.applytojob.com/apply"
"Flathead Valley Community College","Flathead County",48.1878,-114.3226,"Paycom","23D9610C7FF62DF6DF80223B0B1ED6E3","https://www.paycomonline.net/v4/ats/web.php/portal/23D9610C7FF62DF6DF80223B0B1ED6E3/career-page"
"Miles Community College","Custer County",46.4083,-105.8406,"MilesCCHeuristic","https://www.milescc.edu/employment/","https://www.milescc.edu/employment/"
"Dawson Community College","Dawson County",47.1240,-104.7091,"DawsonCCHeuristic","https://www.dawson.edu/employment-opportunities.html","https://www.dawson.edu/employment-opportunities.html"
"Blackfeet Community College","Glacier County",48.5588,-113.0165,"IsolvedHire","bfcc:10334","https://bfcc.isolvedhire.com/jobs/"
"University of Montana","Missoula County",46.8600,-113.9852,"Neogov","ummissoula","https://ummissoula.attract.neoed.com/p/careers"
"Carroll College","Lewis and Clark County",46.5809,-112.0348,"CarrollCollegeHeuristic","https://www.carroll.edu/faculty-staff-positions","https://www.carroll.edu/faculty-staff-positions"
"Rocky Mountain College","Yellowstone County",45.7597,-108.5079,"RockyMountainCollegeHeuristic","https://rocky.edu/employment","https://rocky.edu/employment"
"University of Providence","Cascade County",47.4941,-111.2833,"AdpWorkforceNow","7b7a7621-2d08-46ed-a694-79735466f015:19000101_000001","https://www.uprovidence.edu/employment/"
"Salish Kootenai College","Lake County",47.6083,-114.1058,"SKCHeuristic","https://www.skc.edu/employment/","https://www.skc.edu/employment/"
"Little Big Horn College","Big Horn County",45.6002,-107.4531,"LBHCHeuristic","http://lbhc.edu/Job_opportunities","http://lbhc.edu/Job_opportunities"
"Fort Peck Community College","Roosevelt County",48.1132,-105.1959,"FPCCHeuristic","https://www.fpcc.edu/about-fpcc/employment/","https://www.fpcc.edu/about-fpcc/employment/"
